Ticker,MAE_avg,DA_avg,k,Group
ACB,389.36941964285717,0.4345330094943696,7,LONG
BMC,582.177982875279,0.5778388278388279,7,LONG
BMP,3522.2480817522323,0.46354285714285715,7,LONG
DHA,1051.8902675083705,0.44205714285714287,7,LONG
DHG,1311.7753121512276,0.4404571428571429,7,LONG
DMC,1215.9927629743304,0.37431318681318687,7,LONG
FMC,867.7332240513393,0.4571886446886447,7,LONG
FPT,2365.831612723214,0.48809523809523814,7,LONG
GMD,1720.7829764229912,0.45142857142857146,7,LONG
HAX,358.4731706891741,0.4171514759750053,7,LONG
KDC,650.6698782784598,0.44701783152285307,7,LONG
MHC,365.5484706333705,0.48361162646876926,7,LONG
PAC,852.0433000837054,0.45872322728217924,7,LONG
PET,1189.820765904018,0.47716535433070867,7,LONG
PGC,200.40847778320312,0.38331428571428566,7,LONG
PPC,199.4329092843192,0.37142857142857144,7,LONG
PVD,867.6115373883929,0.46994285714285716,7,LONG
RAL,1839.5556379045759,0.394459706959707,7,LONG
SAM,190.60942186628068,0.4710857142857142,7,LONG
SFI,458.71512276785717,0.3494857142857143,7,LONG
SJS,1263.0809238978795,0.5552709359605912,7,LONG
SSI,860.467546735491,0.4666666666666667,7,LONG
STB,1187.3399309430804,0.4427655677655678,7,LONG
TDH,132.28371102469308,0.5119999999999999,7,LONG
VIP,317.9382585797991,0.4130285714285714,7,LONG
VNE,218.81020573207311,0.49805714285714286,7,LONG
VNM,1148.7263793945312,0.46199633699633696,7,LONG
