Ticker,MAE,RMSE,DirAcc,Group,k
ACB,546.3672485351562,766.7685439557364,0.437403400309119,LONG,7
BMC,795.4945678710938,1199.2454919656775,0.5432692307692307,LONG,7
BMP,4889.87109375,6812.557816268424,0.5024,LONG,7
DHA,1500.42919921875,2173.340516348048,0.4775641025641026,LONG,7
DHG,1872.6328125,2754.166933938464,0.4656,LONG,7
DMC,1648.1331787109375,2570.5117194831073,0.46634615384615385,LONG,7
FMC,1243.1700439453125,1842.4754408132555,0.5056,LONG,7
FPT,3244.02001953125,4344.023710800851,0.5782792665726375,LONG,7
GMD,2354.730712890625,3204.3080376268445,0.4864,LONG,7
HAX,500.6017761230469,666.0846652265761,0.4984894259818731,LONG,7
KDC,928.4552001953125,1506.478343687688,0.5574712643678161,LONG,7
MHC,512.1386108398438,775.8579928053845,0.5295815295815296,LONG,7
PAC,1165.1578369140625,1849.2920266956216,0.47889374090247455,LONG,7
PET,1626.79296875,2327.796490245657,0.5244094488188976,LONG,7
PGC,277.20794677734375,508.13576249364695,0.4048,LONG,7
PPC,280.02850341796875,417.9136237011184,0.4208,LONG,7
PVD,1224.2406005859375,1768.7584628772804,0.4816,LONG,7
RAL,2524.742919921875,3788.9803377689886,0.4512,LONG,7
SAM,264.34051513671875,380.1977487111148,0.4128,LONG,7
SFI,606.9644775390625,861.7373802383183,0.424,LONG,7
SJS,1803.4227294921875,3208.1809487620862,0.4786206896551724,LONG,7
SSI,1232.5772705078125,1683.3064189267502,0.5185185185185185,LONG,7
STB,1647.826904296875,2433.152173621699,0.478330658105939,LONG,7
TDH,184.46844482421875,271.09361851581826,0.6304,LONG,7
VIP,432.2171630859375,664.4141686478397,0.4464,LONG,7
VNE,338.2762145996094,621.9135792053427,0.44,LONG,7
VNM,1616.4058837890625,2327.1468582794682,0.4583333333333333,LONG,7
