Ticker,MAE,RMSE,DirAcc,Group,k
ACB,357.4855651855469,529.1251033545848,0.46367851622874806,LONG,3
BMC,521.3153076171875,828.2760711260468,0.5072,LONG,3
BMP,3115.056640625,4336.905809445255,0.5095846645367412,LONG,3
DHA,945.8576049804688,1400.129190467794,0.4680511182108626,LONG,3
DHG,1185.6614990234375,1823.3107250274156,0.4728434504792332,LONG,3
DMC,1096.7559814453125,1774.2399781314816,0.4272,LONG,3
FMC,760.5770263671875,1157.1653403900411,0.4816,LONG,3
FPT,2148.02197265625,2950.4521687361753,0.5021156558533145,LONG,3
GMD,1586.6123046875,2225.1535902045052,0.5047923322683706,LONG,3
HAX,325.89263916015625,462.17806362916014,0.48717948717948717,LONG,3
KDC,594.2587890625,966.9563718182947,0.6336206896551724,LONG,3
MHC,316.830078125,486.53208398830185,0.5064935064935064,LONG,3
PAC,778.9258422851562,1176.9778035290215,0.47238372093023256,LONG,3
PET,1118.3839111328125,1641.0009140765278,0.4858490566037736,LONG,3
PGC,187.5222625732422,362.7851680058048,0.4304,LONG,3
PPC,177.58334350585938,273.52257962095194,0.40894568690095845,LONG,3
PVD,775.8944702148438,1159.6621814131906,0.49201277955271566,LONG,3
RAL,1603.912353515625,2702.5062442111025,0.536,LONG,3
SAM,174.85916137695312,277.01183131321307,0.4424920127795527,LONG,3
SFI,440.0625,636.6142130442895,0.4536741214057508,LONG,3
SJS,1102.4302978515625,1927.8453646493538,0.5186206896551724,LONG,3
SSI,757.4846801757812,1090.6618403519947,0.5,LONG,3
STB,1100.9837646484375,1603.978023540223,0.48878205128205127,LONG,3
TDH,117.58735656738281,179.87386531087554,0.6517571884984026,LONG,3
VIP,284.4574890136719,445.08062822931305,0.44089456869009586,LONG,3
VNE,183.7581787109375,332.1255057391708,0.5463258785942492,LONG,3
VNM,1069.58837890625,1562.7223841744892,0.4544,LONG,3
