Ticker,MAE_avg,DA_avg,k,Group
ACB,280.7801208496094,0.4255538382277177,3,LONG
BMC,421.3207499186198,0.47733333333333333,3,LONG
BMP,2518.808064778646,0.463258785942492,3,LONG
DHA,735.783935546875,0.44036208732694354,3,LONG
DHG,923.1341959635416,0.41746538871139505,3,LONG
DMC,899.5339762369791,0.3701923076923077,3,LONG
FMC,595.6425577799479,0.45686900958466453,3,LONG
FPT,1710.1811116536458,0.4812206572769953,3,LONG
GMD,1243.7345784505208,0.46645367412140576,3,LONG
HAX,263.47942606608075,0.4333836098541981,3,LONG
KDC,457.59246826171875,0.44906743185078907,3,LONG
MHC,258.09063720703125,0.48484848484848486,3,LONG
PAC,616.2460123697916,0.4578488372093023,3,LONG
PET,860.1999918619791,0.47589098532494756,3,LONG
PGC,150.15096537272134,0.3744,3,LONG
PPC,139.46661885579428,0.39030883919062836,3,LONG
PVD,614.0595703125,0.46166134185303515,3,LONG
RAL,1293.9437866210938,0.39403620873269435,3,LONG
SAM,135.02837371826172,0.5191693290734825,3,LONG
SFI,360.54949951171875,0.3445154419595314,3,LONG
SJS,863.8937377929688,0.460514233241506,3,LONG
SSI,608.2269287109375,0.46646942800788954,3,LONG
STB,867.4381510416666,0.4423076923076923,3,LONG
TDH,93.74075063069661,0.5133120340788072,3,LONG
VIP,228.69735209147134,0.4116080937167199,3,LONG
VNE,138.34967295328775,0.4643237486687967,3,LONG
VNM,842.2340901692709,0.43146666666666667,3,LONG
